 128 time millisecond = 857.361; total count = 199; total byte = 384317; average time  = 4.30835; average byte = 1931
 192 time millisecond = 1036.64; total count = 199; total byte = 384317; average time = 5.20926; average byte = 1931
 256 time millisecond = 1250.15; total count = 199; total byte = 384317; average time = 6.28216; average byte = 1931

 128 time millisecond = 917.316; total count = 999; total byte = 373883; average time  = 0.918234; average byte = 374
 192 time millisecond = 1117.25; total count = 999; total byte = 373883; average time = 1.11837; average byte = 374
 256 time millisecond = 1287.29; total count = 999; total byte = 373883; average time = 1.28858; average byte = 374

 128 time millisecond = 185.699; total count = 199; total byte = 74736; average time  = 0.933161; average byte = 375
 192 time millisecond = 224.598; total count = 199; total byte = 74736; average time = 1.12863; average byte = 375
 256 time millisecond = 264.178; total count = 199; total byte = 74736; average time = 1.32753; average byte = 375

 128 time millisecond = 187.014; total count = 100; total byte = 74736; average time  = 1.87014; average byte = 747
 192 time millisecond = 223.985; total count = 100; total byte = 74736; average time = 2.23985; average byte = 747
 256 time millisecond = 266.091; total count = 100; total byte = 74736; average time = 2.66091; average byte = 747

 128 time millisecond = 193.304; total count = 100; total byte = 79373; average time  = 1.93304; average byte = 793
 192 time millisecond = 228.839; total count = 100; total byte = 79373; average time = 2.28839; average byte = 793
 256 time millisecond = 273.261; total count = 100; total byte = 79373; average time = 2.73261; average byte = 793

 128 time millisecond = 123.177; total count = 70; total byte = 50888; average time  = 1.75967; average byte = 726
 192 time millisecond = 148.062; total count = 70; total byte = 50888; average time = 2.11517; average byte = 726
 256 time millisecond = 173.666; total count = 70; total byte = 50888; average time = 2.48094; average byte = 726

 128 time millisecond = 281.376; total count = 155; total byte = 117108; average time  = 1.81533; average byte = 755
 192 time millisecond = 344.122; total count = 155; total byte = 117108; average time = 2.22014; average byte = 755
 256 time millisecond = 400.384; total count = 155; total byte = 117108; average time = 2.58312; average byte = 755

 128 time millisecond = 319.221; total count = 180; total byte = 135547; average time  = 1.77345; average byte = 753
 192 time millisecond = 384.07; total count = 180; total byte = 135547; average time = 2.13372; average byte = 753
 256 time millisecond = 453.67; total count = 180; total byte = 135547; average time = 2.52039; average byte = 753

 128 time millisecond = 379.205; total count = 210; total byte = 155536; average time  = 1.80574; average byte = 740
 192 time millisecond = 458.306; total count = 210; total byte = 155536; average time = 2.18241; average byte = 740
 256 time millisecond = 540.683; total count = 210; total byte = 155536; average time = 2.57468; average byte = 740

 128 time millisecond = 541.516; total count = 300; total byte = 227198; average time  = 1.80505; average byte = 757
 192 time millisecond = 663.552; total count = 300; total byte = 227198; average time = 2.21184; average byte = 757
 256 time millisecond = 781.59; total count = 300; total byte = 227198; average time = 2.6053; average byte = 757

 128 time millisecond = 546.929; total count = 300; total byte = 228966; average time  = 1.8231; average byte = 763
 192 time millisecond = 665.353; total count = 300; total byte = 228966; average time = 2.21784; average byte = 763
 256 time millisecond = 783.282; total count = 300; total byte = 228966; average time = 2.61094; average byte = 763

 128 time millisecond = 548.471; total count = 300; total byte = 229675; average time  = 1.82824; average byte = 765
 192 time millisecond = 664.163; total count = 300; total byte = 229675; average time = 2.21388; average byte = 765
 256 time millisecond = 783.179; total count = 300; total byte = 229675; average time = 2.6106; average byte = 765

 128 time millisecond = 59.847; total count = 2; total byte = 30903; average time  = 29.9235; average byte = 15451
 192 time millisecond = 75.57; total count = 2; total byte = 30903; average time = 37.785; average byte = 15451
 256 time millisecond = 88.928; total count = 2; total byte = 30903; average time = 44.464; average byte = 15451

 128 time millisecond = 71.653; total count = 3; total byte = 36238; average time  = 23.8843; average byte = 12079
 192 time millisecond = 89.975; total count = 3; total byte = 36238; average time = 29.9917; average byte = 12079
 256 time millisecond = 108.394; total count = 3; total byte = 36238; average time = 36.1313; average byte = 12079

 128 time millisecond = 183.378; total count = 99; total byte = 75973; average time  = 1.8523; average byte = 767
 192 time millisecond = 218.868; total count = 99; total byte = 75973; average time = 2.21079; average byte = 767
 256 time millisecond = 260.085; total count = 99; total byte = 75973; average time = 2.62712; average byte = 767

 128 time millisecond = 44.156; total count = 51; total byte = 18678; average time  = 0.865804; average byte = 366
 192 time millisecond = 54.981; total count = 51; total byte = 18678; average time = 1.07806; average byte = 366
 256 time millisecond = 64.828; total count = 51; total byte = 18678; average time = 1.27114; average byte = 366

